Time,Sales,SMA,SD,Upper Band,Lower Band
2020-10-01,,,,-78387.69834,242334.9031
2021-01-01,,-204625.7175,,18355.83901,-330863.7367
2021-04-01,,-116145.8278,,11511.58666,-250647.4946
2021-07-01,,-130552.3297,,515720.5412,-272616.246
2021-10-01,,366457.7304,,-16081.67905,217194.9197
2022-01-01,,-172210.1066,,35590.66767,-328338.5342
2022-04-01,,-127114.0771,,31244.55157,-289818.8219
2022-07-01,,-137780.8239,,646884.8082,-306806.1993
2022-10-01,,471766.7865,,-26022.10114,296648.7648
2023-01-01,,-207027.8068,86461.76706,-7790.213362,-388033.5125
2023-04-01,,-194498.0317,115869.3632,56034.9739,-381205.8501
2023-07-01,,-136205.8995,104373.1615,626165.0966,-328446.7728
2023-10-01,,337012.9957,102889.5993,60064.88075,47860.89481
2024-01-01,,-246223.5772,102831.0865,167099.0936,-552512.0351
2024-04-01,,-158882.5363,120877.845,172091.1609,-484864.1662
2024-07-01,,-172146.2703,106261.4409,702230.917,-516383.7016
2024-10-01,,340630.8899,104743.5711,166394.5889,-20969.13714
2025-01-01,,-211769.3044,107191.5982,216220.2204,-589933.1977
2025-04-01,,-177812.0728,120156.1471,230488.6829,-571844.3661
2025-07-01,,-178797.2205,106203.4838,880099.7288,-588083.1239
2025-10-01,,456108.6267,98353.33556,188419.3927,32117.52455
2026-01-01,,-249783.7092,98867.72977,204130.3831,-687986.8111
2026-04-01,,-247838.0477,123741.0595,286140.3022,-699806.4784
2026-07-01,,-179186.4285,113443.7923,854138.1086,-644513.1591
2026-10-01,,299498.2139,109225.1721,290406.2985,-255141.6807
2027-01-01,,-290501.1057,109014.9109,405891.6166,-871408.51
2027-04-01,,-203635.477,138980.3114,420124.2395,-813162.5705
2027-07-01,,-216422.163,121643.767,965429.3958,-852968.5654
2027-10-01,,302936.9685,120681.4233,432261.6378,-359555.4588
2028-01-01,,-255195.7942,121464.8477,485658.8332,-942653.2262
2028-04-01,,-225888.4505,142226.1099,512015.8065,-937435.7342
2028-07-01,,-222832.0175,126972.4796,1180091.539,-957679.8415
2028-10-01,,422659.618,123900.5856,484817.1949,-334772.3028
2029-01-01,,-294544.6624,126842.3127,503674.0494,-1073906.52
2029-04-01,,-297017.3359,159844.8329,597426.1234,-1097708.721
2029-07-01,,-224041.152,148743.8964,1163476.973,-1045508.427
2029-10-01,,256925.165,143180.2453,604077.2723,-649626.643
2030-01-01,,-335897.2613,146895.0969,726264.9823,-1275871.795
2030-04-01,,-249230.0932,,747654.9557,-1224725.169
2030-07-01,,-261817.6356,,1302658.418,-1271290.227
2030-10-01,,260289.1378,,774020.0385,-782080.1426
2031-01-01,,-300236.6839,,832354.3189,-1374493.406
2031-04-01,,-272870.4345,,867221.5435,-1378095.188
2031-07-01,,-268126.8449,,1546476.992,-1403475.233
2031-10-01,,381783.8247,,853173.9254,-782909.3428
2032-01-01,,-340142.6234,,876809.5269,-1533459.172
2032-04-01,,-344459.7295,,978918.0777,-1565728.986
2032-07-01,,-269678.2574,,1544022.717,-1518274.592
2032-10-01,,212240.5439,,989299.9258,-1119541.629
2033-01-01,,-381760.3874,,,-1752820.701
